GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,index
437r,323.7625272652645,-0.3293989255124077,5000.0,0.0636,,2.573671960771068,4.859598114296046,8.618772729253502,99.41323444419822,99.58216860311389,10.582454688365589,11.328214168520338,5.439242485984591,5.766579646130914,0.4995963214940781,-1.597253521698051,-0.3801015180675637,-0.0544178812368917,0.4338961541652679,2.6244611887215075,0.1319359648161836,0.0606730711776803,0.0,0.0,0.065048320814962,0.0603402637090211,0.2376397376639624,0.3379978815870674,4.889626622414011,1.4687893619430457,320.19273995485173,319.44301983437845,0.1375256635996938,1.3959660410653003,0.0,0.0,0.27,0.3462954865095246,1.1606104,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1937.0,14.5,133.5,0.0,3.0,0.01148,0.0011699999449774,9.8,0.0,3.0,50.0,5.2,9.8,35.3,0.0,0.0,0.0,0.0,437
351r,315.5669049983821,9.58797786744169,5000.0,0.0471,,7.169095069616016,15.281127267200755,29.79050277351159,92.06417508132154,90.10142054023592,39.27947476522616,47.01735605761761,15.22084509985547,23.348362156115552,0.4800492403746266,-1.6727184829932489,-0.4245623514312768,-0.0842591211651812,0.1608647555112838,3.093067466174406,0.0876633623232613,-0.0200227027842514,0.0721088435374149,0.0918191010994658,0.0960364710463664,0.1600274597268891,0.2760027551630647,0.0613978505951845,19.98813907639277,0.5146990974786135,320.1878536044968,320.1851525597997,0.6646635037591825,2.5182353957869688,0.0,0.0,0.27,0.3462954865095246,1.7378352,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,2554.0,32.5,78.5,0.0,3.0,0.0225,0.0020800000056624,10.8,0.0,3.0,50.0,4.9,10.8,23.3,0.0,0.0,0.0,0.0,351
902r,235.34923232562068,3.827891835208037,5000.0,0.1098,,2.694732402516117,5.627054544429912,10.651809135141004,83.2047989394107,83.6409591853785,13.103942119534471,16.06888076563717,6.449953496335041,7.932259508451975,0.5217527886969254,-1.832656774734276,-0.1072925510593658,-0.0652040308781082,0.3250162303447723,2.984538656966686,0.0260332124919487,-0.0019362537400603,0.0,0.0,0.040601392776939,0.0843350589482837,0.3215976112042471,0.219224748456575,6.332030981017012,1.6788207353219031,320.5185522933069,320.06354945234455,0.3799853572742321,2.786642898188673,0.0,0.0,0.27,0.3462954865095246,1.4288685,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2077.0,22.0,94.4,0.0,3.0,0.0103,0.0012400000123307,8.3,0.0,3.0,50.0,4.1,8.3,29.5,0.0,0.0,0.0,0.0,902
769r,329.929412085,-7.39346825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,769
555r,237.11757823625345,9.535584420405913,5000.0,0.0369,,7.62439252510365,18.27797353158257,32.190444890141094,227.31994767717924,224.42933098406945,41.641616184837154,56.24455362633958,18.62874400830587,28.526411358874125,0.5602663558197177,-1.7111679442659946,-0.0008421533160625,-0.0101886519914527,0.2455310225486755,3.1276086600944257,0.0704677248438536,0.030388189917608,0.3348623853211009,0.3732825860873584,0.0480609354269003,0.0339762278926346,0.2522672879292829,0.1851795289122884,25.073104099806,0.5430942745115416,318.1853675244204,320.10307244091075,0.7865046001996461,0.6136386350516926,0.0,0.0,0.27,0.3462954865095246,1.4745672,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,2970.0,23.4,126.8,0.0,3.0,0.03734,0.0037000000011175,10.1,0.0,3.0,50.0,4.4,10.1,30.3,0.0,0.0,0.0,0.0,555
542r,46.12466146950447,-0.7473356429090127,5000.0,0.0579,,5.207597022171995,11.15597159479012,20.47159659853185,100.8783049206696,99.60441187694596,25.994471912046507,36.8246520935902,11.52865445288578,18.109138200828987,0.4934136846365628,-1.7302805363218945,-0.3185178493779412,-0.0790294467585461,0.240181490778923,2.972571725093762,0.1279084696397413,0.0614357607075257,0.0059612518628912,0.0,0.0320952951999242,0.1951112548848861,0.2897796514972033,0.1437680935631995,16.56098764525692,0.4410865057992976,319.0572734735395,319.92968120565763,0.7376267121316161,2.774471443760561,0.0,0.0,0.27,0.3462954865095246,1.3035768,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1494.0,18.3,81.6,0.0,3.0,0.03801,0.0032899999059736,11.5,0.0,3.0,50.0,4.5,11.5,32.2,0.0,0.0,0.0,0.0,542
416r,179.395540010704,5.688830739505825,5000.0,0.0398,,6.01651538555838,11.330585618458905,17.577786879409356,98.91465865748594,99.11152850946397,21.38526448824479,23.13779595380849,11.543250795433144,12.910217039249448,0.3976260043609378,-1.661268790542502,-0.8404920065674037,-0.1642666175680793,0.2333926260471344,2.3280958148540893,0.0398779776844752,-0.0041645763533135,0.0136363636363636,0.0,0.0373421737913927,0.0619108954708606,0.2823460650953676,0.0991805008423116,11.391942359889748,0.3921083194713592,319.1432974985174,320.3674867921516,0.2213158077838729,2.511602236651859,0.0,0.0,0.27,0.3462954865095246,1.213126,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1325.0,15.9,83.6,0.0,3.0,0.05347,0.0052999998442828,10.1,0.0,3.0,50.0,4.1,10.1,18.4,0.0,0.0,0.0,0.0,416
680r,228.44844716489817,0.3430792719831169,5000.0,0.072,,2.778009913521709,5.136337548935321,9.067970932975925,133.4736876340488,133.6044882860127,11.269205499430212,12.07594432213169,5.635794157645747,6.066696405976537,0.4912484421283967,-1.6914345747229176,-0.3561560511814541,-0.0757734481793727,0.4818411469459533,2.568881640641951,0.0500813142954573,0.060138335887746,0.0,0.0,0.025375034328185,0.1063066379343372,0.2492887732174365,0.4284611970428477,5.168966409675231,1.2895374377998596,319.3393732013865,319.9900531100538,0.1406208740578255,0.9079921181383694,0.0,0.0,0.27,0.3462954865095246,1.1700566,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1784.0,14.7,121.0,0.0,3.0,0.01626,0.0016499999910593,9.8,0.0,3.0,50.0,4.7,9.8,40.4,0.0,0.0,0.0,0.0,680
515r,8.163132293407278,-0.9312841934935244,5000.0,0.0508,,8.168004173419835,19.5710642616861,37.939038915732056,132.14196409397942,123.3262900204274,51.237624038094246,60.42490829406894,28.440848725991827,47.779137333888535,0.5622235161996745,-1.568959602175021,-0.0897045905043216,0.0115158963353497,0.1803819984197616,3.3348518701009158,0.2431132912273769,0.1822263186087601,0.2452830188679245,0.5366406492732204,0.2040703343868217,0.7598034494847441,1.9992422622182733,0.1008125536892368,30.38604148023388,0.3763602139286989,314.12805031518894,319.532499719388,0.8574774157452993,0.0423690892916314,1.0,0.0,0.27,0.3462954865095246,1.3073298,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,2549.0,18.4,138.4,0.0,3.0,0.02684,0.002210000064224,12.1,0.0,3.0,50.0,4.8,12.1,36.2,0.0,0.0,0.0,0.0,515
399r,187.6531232023778,0.8462250550416475,5000.0,0.023,,8.778741102115807,20.97099770657027,46.18416121841732,398.4009544363242,391.7441561402555,57.30379292223178,65.31250441996832,22.178472619756075,28.66248118813163,0.592342575079534,-1.9591453256736888,0.3297834573355596,-0.012902050939904,0.180853933095932,3.6053040964034047,0.1226273177795676,0.0448812730704043,0.023817802503477,0.0360591114560626,0.0156973340155382,0.2555514743775174,0.1933292561389734,0.0801902139374212,24.99875841139848,1.272475689889668,318.68523170800927,319.7771872386189,0.4621994597285418,0.2135778396456701,0.0,0.0,0.27,0.3462954865095246,1.1272705,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,15085.0,13.7,1101.9,0.0,3.0,0.00909,0.001010000007227,9.0,0.0,3.0,50.0,4.7,9.0,24.8,0.0,0.0,0.0,0.0,399
181r,207.8952859235281,2.554143215414682,5000.0,0.0424,,3.632347960135397,7.18758401446915,12.102579263739562,86.48681003782738,86.08495831521017,15.54817877267073,19.24939359720089,7.300252293344078,9.97362178136246,0.4462973493335433,-1.491503781628841,-0.7172160001301737,-0.092484649806201,0.3599322140216827,2.613452453264681,0.0550195988003315,0.0072378752358429,0.0,0.0,0.0730933610246882,0.0791633431951423,0.2369963839585702,0.3093242747488133,9.58682571471515,0.5031205654591578,319.9464994947186,319.93852552911807,0.6909360840454499,3.1276101935199065,0.0,0.0,0.27,0.3462954865095246,1.3255465,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,734.0,18.9,38.8,0.0,3.0,0.05557,0.0050099999643862,11.1,0.0,3.0,50.0,4.5,11.1,38.2,0.0,0.0,0.0,0.0,181
298r,152.13022039392948,9.239627988843091,5000.0,0.0348,,2.7436424245787445,5.178277106326581,8.79419530755806,275.3776807903607,275.46784902369734,11.138123968275464,11.826290948026235,5.367707937593632,5.697827128102907,0.4746491873899262,-1.688659529869602,-0.4402454682202315,-0.0918209791358478,0.7146786451339722,2.5293429841301367,0.0977276550610316,0.0641889231970114,0.0,0.0,0.0518075031292442,0.1249765020002095,0.1856548518329999,1.1716449212208777,4.614717742067174,1.1017161288753428,319.5510622728888,320.15387792929687,0.1336361080175283,2.472684647766135,0.0,0.0,0.27,0.3462954865095246,1.4551502,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1134.0,22.8,49.7,0.0,3.0,0.0546,0.0047900001518428,11.4,0.0,3.0,50.0,4.3,11.4,62.9,0.0,0.0,0.0,0.0,298
